"gender","masterCategory","subCategory","articleType","baseColour","season","year","usage"
"Women","Apparel","Topwear","Kurtas","Green","Fall","2011.0","Casual"
"Women","Accessories","Bags","Handbags","White","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Teal","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Copper","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Tshirts","Pink","Summer","2011.0","Casual"
"Men","Accessories","Belts","Belts","Black","Fall","2011.0","Fashionable"
"Women","Footwear","Shoes","Flats","Brown","Winter","2015.0","Casual"
"Men","Accessories","Watches","Watches","Off White","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Kurtas","Beige","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Waistcoat","Grey","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2010.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Black","Summer","2011.0","Casual"
"Men","Apparel","Innerwear","Briefs","Maroon","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Women","Accessories","Belts","Belts","Black","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Footwear","Shoes","Formal Shoes","Black","Fall","2012.0","Formal"
"Women","Apparel","Topwear","Kurtas","Brown","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Blue","Summer","2016.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Tshirts","Purple","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","White","Summer","2011.0","Casual"
"Men","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Tshirts","Red","Fall","2011.0","Casual"
"Women","Apparel","Saree","Sarees","Grey","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Women","Accessories","Bags","Handbags","Beige","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Purple","Summer","2012.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Pink","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2011.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Blue","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Red","Fall","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Khaki","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Pink","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Tshirts","Black","Fall","2010.0","Casual"
"Men","Apparel","Topwear","Sweatshirts","Blue","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Red","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Winter","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Brown","Winter","2015.0","Casual"
"Women","Apparel","Topwear","Tops","Green","Summer","2012.0","Casual"
"Women","Footwear","Sandal","Sandals","Pink","Fall","2011.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Black","Winter","2016.0","Fashionable"
"Men","Footwear","Flip Flops","Flip Flops","Silver","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Pink","Summer","2011.0","Casual"
"Men","Apparel","Innerwear","Innerwear Vests","Grey","Summer","2016.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Black","Summer","2013.0","Casual"
"Women","Accessories","Jewellery","Pendant","Silver","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Women","Personal Care","Nails","Nail Polish","Bronze","Spring","2017.0","Casual"
"Unisex","Accessories","Bags","Laptop Bag","Orange","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Off White","Summer","2012.0","Casual"
"Women","Accessories","Scarves","Scarves","Brown","Summer","2012.0","Casual"
"Unisex","Apparel","Topwear","Rain Jacket","Coffee Brown","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Women","Apparel","Dress","Dresses","Blue","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Red","Summer","2016.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2011.0","Casual"
"Women","Apparel","Loungewear and Nightwear","Night suits","White","Summer","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Red","Spring","2017.0","Casual"
"Women","Apparel","Bottomwear","Skirts","Blue","Summer","2012.0","Casual"
"Girls","Apparel","Topwear","Tops","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Unisex","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Footwear","Shoes","Casual Shoes","Blue","Summer","2012.0","Casual"
"Unisex","Footwear","Flip Flops","Flip Flops","Navy Blue","Summer","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Grey","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Yellow","Fall","2011.0","Formal"
"Men","Accessories","Wallets","Wallets","Black","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Grey","Winter","2015.0","Formal"
"Women","Accessories","Wallets","Wallets","Beige","Summer","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Brown","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","White","Fall","2012.0","Formal"
"Men","Apparel","Innerwear","Briefs","White","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Blazers","Charcoal","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Black","Summer","2012.0","Casual"
"Women","Footwear","Flip Flops","Flip Flops","Red","Winter","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Blue","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Flats","Silver","Spring","2010.0","Casual"
"Women","Apparel","Topwear","Kurtas","Green","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Ring","Silver","Summer","2012.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Unisex","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Accessories","Eyewear","Sunglasses","Copper","Winter","2016.0","Fashionable"
"Unisex","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Green","Fall","2011.0","Formal"
"Men","Footwear","Sandal","Sandals","White","Fall","2011.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Sweatshirts","Blue","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Gold","Spring","2017.0","Casual"
"Women","Apparel","Apparel Set","Kurta Sets","Black","Summer","2012.0","Casual"
"Women","Accessories","Bags","Clutches","Red","Winter","2015.0","Formal"
"Men","Footwear","Sandal","Sandals","Beige","Fall","2015.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Shrug","Pink","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Grey","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Flats","Copper","Winter","2012.0","Formal"
"Men","Apparel","Topwear","Shirts","Black","Summer","2011.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Black","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2011.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Men","Accessories","Jewellery","Bracelet","Steel","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Bra","Black","Summer","2014.0","Casual"
"Men","Accessories","Headwear","Caps","White","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Winter","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Yellow","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Fall","2012.0","Casual"
"Men","Accessories","Watches","Watches","Silver","Winter","2016.0","Fashionable"
"Men","Apparel","Innerwear","Innerwear Vests","White","Summer","2016.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Tshirts","Purple","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Fall","2011.0","Casual"
"Women","Apparel","Saree","Sarees","Green","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Red","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Casual Shoes","Green","Winter","2015.0","Casual"
"Men","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Men","Accessories","Watches","Watches","Gold","Winter","2016.0","Formal"
"Men","Apparel","Bottomwear","Trousers","Black","Fall","2011.0","Formal"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Brown","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Sweatshirts","Black","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Flats","Brown","Winter","2015.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","White","Spring","2017.0","Casual"
"Women","Accessories","Bags","Handbags","White","Winter","2015.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Grey","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Women","Accessories","Jewellery","Earrings","Silver","Winter","2016.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Black","Summer","2011.0","Casual"
"Men","Accessories","Belts","Belts","Tan","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Fall","2011.0","Formal"
"Women","Accessories","Belts","Belts","Grey","Winter","2015.0","Fashionable"
"Women","Apparel","Topwear","Tops","Blue","Summer","2012.0","Casual"
"Unisex","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Black","Fall","2011.0","Formal"
"Men","Personal Care","Fragrance","Deodorant","Black","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Women","Personal Care","Lips","Lipstick","Brown","Spring","2017.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Winter","2015.0","Casual"
"Women","Apparel","Bottomwear","Trousers","Blue","Summer","2012.0","Casual"
"Women","Personal Care","Fragrance","Deodorant","Pink","Spring","2017.0","Casual"
"Girls","Apparel","Topwear","Tops","Blue","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Brown","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Kurtas","Red","Summer","2012.0","Casual"
"Unisex","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Women","Apparel","Topwear","Tops","Beige","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Shorts","Pink","Fall","2011.0","Casual"
"Women","Apparel","Innerwear","Camisoles","Maroon","Winter","2015.0","Formal"
"Men","Apparel","Innerwear","Boxers","Multi","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Women","Accessories","Bags","Handbags","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Summer","2011.0","Casual"
"Girls","Apparel","Topwear","Tops","Pink","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tshirts","Grey","Fall","2011.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Red","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Black","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Magenta","Fall","2011.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Black","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Summer","2011.0","Casual"
"Women","Accessories","Jewellery","Jewellery Set","Gold","Winter","2016.0","Casual"
"Women","Apparel","Topwear","Dupatta","Orange","Fall","2011.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Apparel","Bottomwear","Track Pants","Navy Blue","Fall","2011.0","Casual"
"Girls","Apparel","Bottomwear","Capris","Black","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Red","Summer","2013.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Lavender","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Bra","White","Summer","2017.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Black","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2012.0","Casual"
"Women","Personal Care","Lips","Lip Gloss","Brown","Spring","2017.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Grey","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Women","Apparel","Topwear","Kurtas","Sea Green","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Earrings","Gold","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Tops","Purple","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Navy Blue","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Gold","Winter","2016.0","Formal"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Tops","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Girls","Apparel","Topwear","Tops","White","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tops","Black","Summer","2012.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","Gold","Spring","2017.0","Casual"
"Women","Accessories","Wallets","Wallets","Black","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Pink","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Pink","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2016.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Black","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Brown","Summer","2013.0","Casual"
"Women","Apparel","Loungewear and Nightwear","Bath Robe","Pink","Winter","2015.0","Casual"
"Unisex","Accessories","Headwear","Caps","White","Fall","2012.0","Casual"
"Women","Accessories","Mufflers","Mufflers","Yellow","Fall","2011.0","Casual"
"Women","Footwear","Flip Flops","Flip Flops","Blue","Summer","2011.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Brown","Summer","2013.0","Casual"
"Women","Accessories","Bags","Handbags","Beige","Fall","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Navy Blue","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","White","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Purple","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Tunics","White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Green","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Flats","Brown","Winter","2012.0","Formal"
"Women","Apparel","Topwear","Jackets","Cream","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Peach","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Women","Footwear","Shoes","Heels","Gold","Winter","2015.0","Casual"
"Women","Apparel","Topwear","Tops","Purple","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Tops","Blue","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Flats","Copper","Winter","2012.0","Formal"
"Men","Apparel","Topwear","Tshirts","Yellow","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Fall","2011.0","Casual"
"Men","Accessories","Belts","Belts","Black","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Tan","Summer","2013.0","Casual"
"Women","Apparel","Innerwear","Briefs","Brown","Summer","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Flats","Silver","Fall","2010.0","Casual"
"Women","Accessories","Bags","Clutches","Off White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","White","Fall","2011.0","Casual"
"Men","Apparel","Innerwear","Briefs","Grey","Summer","2016.0","Casual"
"Women","Personal Care","Lips","Lipstick","Red","Spring","2017.0","Casual"
"Men","Personal Care","Fragrance","Perfume and Body Mist","Green","Spring","2017.0","Casual"
"Girls","Apparel","Topwear","Tops","Pink","Summer","2012.0","Casual"
"Unisex","Accessories","Headwear","Caps","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Olive","Fall","2011.0","Casual"
"Men","Accessories","Wallets","Wallets","Black","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Tops","Yellow","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Purple","Unknown","2011.0","Casual"
"Women","Footwear","Flip Flops","Flip Flops","Orange","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Green","Fall","2011.0","Formal"
"Men","Apparel","Topwear","Tshirts","Navy Blue","Fall","2011.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Grey","Winter","2011.0","Formal"
"Men","Footwear","Sandal","Sandals","Brown","Summer","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Olive","Fall","2012.0","Casual"
"Women","Apparel","Topwear","Tshirts","Pink","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Trunk","Charcoal","Summer","2016.0","Casual"
"Boys","Apparel","Topwear","Shirts","Blue","Summer","2012.0","Casual"
"Women","Personal Care","Lips","Lipstick","Pink","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Shirts","Navy Blue","Fall","2011.0","Formal"
"Women","Accessories","Bags","Handbags","White","Winter","2015.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Tshirts","White","Fall","2010.0","Casual"
"Women","Apparel","Innerwear","Bra","Purple","Summer","2014.0","Casual"
"Women","Apparel","Loungewear and Nightwear","Lounge Pants","Blue","Winter","2015.0","Formal"
"Women","Personal Care","Skin Care","Face Wash and Cleanser","Green","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Tops","Magenta","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Olive","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Innerwear Vests","Grey","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Shirts","Black","Fall","2011.0","Formal"
"Women","Apparel","Saree","Sarees","Beige","Fall","2012.0","Casual"
"Women","Apparel","Dress","Dresses","White","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Winter","2015.0","Casual"
"Women","Accessories","Jewellery","Necklace and Chains","Silver","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Red","Winter","2016.0","Formal"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Kurtas","Cream","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Orange","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Shirts","Black","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Tops","White","Summer","2012.0","Casual"
"Men","Accessories","Socks","Socks","Grey","Summer","2011.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Unisex","Accessories","Bags","Duffel Bag","Red","Winter","2015.0","Formal"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Pink","Spring","2017.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Pink","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2011.0","Casual"
"Unisex","Accessories","Eyewear","Sunglasses","Brown","Winter","2016.0","Fashionable"
"Men","Footwear","Shoes","Formal Shoes","Black","Fall","2011.0","Formal"
"Men","Footwear","Sandal","Sports Sandals","Navy Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Pink","Summer","2013.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Black","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2011.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","Grey","Spring","2017.0","Casual"
"Men","Apparel","Bottomwear","Track Pants","Navy Blue","Fall","2013.0","Casual"
"Women","Accessories","Wallets","Wallets","Orange","Winter","2015.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Black","Winter","2018.0","Formal"
"Women","Personal Care","Makeup","Foundation and Primer","Skin","Summer","2019.0","Casual"
"Men","Apparel","Topwear","Tshirts","Red","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Charcoal","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Black","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Boys","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tunics","Red","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Blue","Fall","2011.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Blue","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Sweaters","Blue","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Accessories","Socks","Socks","Black","Summer","2016.0","Casual"
"Women","Apparel","Apparel Set","Kurta Sets","Purple","Fall","2012.0","Casual"
"Women","Personal Care","Fragrance","Perfume and Body Mist","Purple","Spring","2017.0","Casual"
"Women","Apparel","Bottomwear","Trousers","Brown","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2016.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2011.0","Casual"
"Women","Accessories","Bags","Clutches","Red","Fall","2012.0","Casual"
"Men","Free Items","Free Gifts","Free Gifts","Black","Winter","2016.0","Casual"
"Men","Apparel","Topwear","Shirts","Burgundy","Fall","2011.0","Formal"
"Women","Accessories","Watches","Watches","Silver","Winter","2016.0","Fashionable"
"Women","Accessories","Wallets","Wallets","Coffee Brown","Summer","2011.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Tshirts","Brown","Fall","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Brown","Summer","2012.0","Casual"
"Men","Accessories","Belts","Belts","White","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Grey Melange","Summer","2016.0","Casual"
"Women","Accessories","Bags","Handbags","Black","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Blue","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Brown","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Tops","Blue","Summer","2012.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Yellow","Fall","2011.0","Casual"
